fuel_frac,ref_mult,core_r,keff,stdv,r_mass,c_mass,p_mass,mass
   0.37851,   0.08169,  40.86251,   1.58964,   0.00071,-267599.89522,2046406.53903,1076017.31320,2854823.95701
   0.91712,   0.13930,  45.45656,   1.98199,   0.00076,-261444.27682,5986373.69900,1689392.94825,7414322.37042
   0.80122,   0.13400,  15.32855,   1.28754,   0.00067,-10420.33342,203399.79240,64017.91553,256997.37451
   0.65743,   0.06755,  31.33618,   1.69571,   0.00071,-128734.31680,1460563.03230,469407.19127,1801235.90677
   0.58375,   0.06926,  26.26758,   1.51473,   0.00061,-75258.86469,776627.86970,277604.35608,978973.36109
   0.40190,   0.08244,  43.29228,   1.65272,   0.00068,-317089.17456,2552487.83610,1281847.24720,3517245.90874
   0.59497,   0.05018,  38.54204,   1.75896,   0.00076,-257395.68215,2493578.78080,838008.85713,3074191.95578
   0.94302,   0.10017,  48.90629,   2.00523,   0.00065,-417559.35563,7645154.76440,1925512.84917,9153108.25793
   0.34150,   0.05352,  30.35090,   1.31326,   0.00062,-124037.88193,773733.14969,412510.23927,1062205.50703
   0.58207,   0.06040,  23.91519,   1.44041,   0.00069,-58997.76019,584663.94784,205149.02066,730815.20830
   0.64207,   0.05782,  32.59788,   1.70522,   0.00068,-151016.99826,1610853.13417,516354.46208,1976190.59799
   0.45964,   0.08133,  29.08760,   1.46032,   0.00073,-96689.85490,863225.95207,387795.24017,1154331.33735
   0.37270,   0.07079,  15.97623,   0.83168,   0.00066,-16818.02099,120819.48411,62683.99656,166685.45968
   0.72291,   0.06575,  46.72524,   1.91628,   0.00068,-430133.89281,5260594.16703,1549589.31797,6380049.59218
   0.53731,   0.09926,  27.35093,   1.50605,   0.00072,-73397.34418,817211.95278,336092.53777,1079907.14637
   0.78851,   0.09135,  40.76440,   1.90041,   0.00074,-253299.92192,3771580.76503,1092571.12042,4610851.96354
   0.39202,   0.12290,  29.72677,   1.40062,   0.00073,-81950.53631,810112.41595,455407.66359,1183569.54323
   0.89611,   0.09515,  27.45825,   1.77189,   0.00065,-75905.91272,1292202.14526,336855.83044,1553152.06298
   0.69602,   0.10282,  22.76004,   1.51828,   0.00070,-41479.16483,588133.17016,195261.47355,741915.47888
   0.59083,   0.05563,  27.81137,   1.55934,   0.00068,-94626.03083,931306.66687,318990.42340,1155671.05944
   0.29198,   0.05341,  31.84524,   1.26335,   0.00068,-143339.08422,793550.57682,476364.38699,1126575.87959
   0.89388,   0.13318,  19.60336,   1.55795,   0.00067,-21922.84107,469169.83236,133657.16837,580904.15966
   0.24738,   0.00579,  36.01174,   1.23926,   0.00070,-245062.34946,1017069.82248,613218.11027,1385225.58328
   0.26102,   0.02592,  44.30512,   1.43402,   0.00068,-427411.39863,1968316.68492,1200214.83153,2741120.11781
   0.56059,   0.09073,  44.35823,   1.81154,   0.00071,-327405.30683,3613400.24000,1405739.82779,4691734.76097
   0.80974,   0.14792,  21.40463,   1.56990,   0.00073,-25525.48857,559056.09973,179796.96324,713327.57440
   0.59450,   0.01663,  10.43320,   0.72764,   0.00047,-5757.63023,49428.59673,15318.72447,58989.69097
   0.22150,   0.07969,  14.75917,   0.53271,   0.00041,-12729.78408,64804.74441,50466.00496,102540.96530
   0.53042,   0.08105,  17.93223,   1.14486,   0.00063,-22685.03550,227825.43576,90802.43265,295942.83290
   0.90825,   0.14917,  42.42303,   1.95876,   0.00067,-196709.45432,4823657.88025,1403672.47142,6030620.89734
   0.23072,   0.08633,  25.77114,   0.97811,   0.00056,-65634.01321,354888.61468,272862.58482,562117.18630
   0.55795,   0.02440,  20.76825,   1.28607,   0.00069,-44252.71808,369364.24247,123162.42713,448273.95152
   0.73230,   0.13662,  42.28368,   1.89117,   0.00073,-214633.71435,3942983.43265,1351641.65547,5079991.37376
   0.22981,   0.03277,  10.38872,   0.33722,   0.00032,-5379.85667,23183.58946,15734.44760,33538.18039
