# AR,core_r,cool_r,PD,power,enrich,keff,ave_E,mass,q_dens,dU,dK,mass_235,m_dens,fuel_frac
   1.00000,  22.48047,   0.59741,   1.17251, 101.50391,   0.43823,   0.47043,   0.86766, 102.19033,   2.84392,   0.00000,  -0.00335,  44.13893,   2.86315,   0.20008
   1.00000,  24.82422,   0.68481,   1.18716, 196.54297,   0.73013,   0.71998,   0.90969, 144.70026,   4.08960,   0.00000,  -0.00413, 104.43507,   3.01087,   0.21040
   1.00000,  36.15234,   0.66577,   1.36099, 152.01172,   0.25913,   0.70497,   0.65115, 644.68381,   1.02404,   0.00000,  -0.00191, 165.17349,   4.34298,   0.30349
   1.00000,  16.15234,   0.91577,   1.11099,  92.01172,   0.60913,   0.34500,   1.02098,  29.58477,   6.95003,   0.00000,  -0.00634,  17.77079,   2.23466,   0.15616
   1.00000,  37.51953,   0.51636,   1.34683, 197.36328,   0.25435,   0.69216,   0.64472, 703.81432,   1.18944,   0.00000,  -0.00243, 177.02098,   4.24166,   0.29641
   1.00000,  23.88672,   0.53247,   1.50356, 126.23047,   0.42319,   0.76122,   0.76875, 218.42898,   2.94812,   0.00000,  -0.00195,  91.11865,   5.10142,   0.35649
   1.00000,  30.37109,   0.64526,   1.10854, 124.35547,   0.51890,   0.53732,   0.84908, 192.60938,   1.41297,   0.00000,  -0.00492,  98.48947,   2.18850,   0.15293
   1.00000,  23.41797,   0.51001,   1.53335, 125.17578,   0.32271,   0.65899,   0.73395, 211.16113,   3.10258,   0.00000,  -0.00384,  67.27121,   5.23379,   0.36574
   1.00000,  15.13672,   0.54810,   1.39419,  91.89453,   0.88257,   0.70115,   1.01376,  49.40652,   8.43421,   0.00000,  -0.00378,  43.34003,   4.53460,   0.31688
   1.00000,  45.60547,   0.77954,   1.41958, 119.19922,   0.40405,   1.05426,   0.66793,1397.94748,   0.40001,   0.00000,  -0.00201, 556.89076,   4.69127,   0.32783
   1.00000,  27.44141,   0.65845,   1.52554, 183.30078,   0.36577,   0.79541,   0.71858, 338.13493,   2.82355,   0.00000,  -0.00228, 122.00090,   5.20860,   0.36398
   1.00000,  20.29297,   0.93726,   1.16079, 168.06641,   0.22495,   0.29622,   0.84619,  72.69168,   6.40168,   0.00000,  -0.00782,  16.18433,   2.76884,   0.19349
   1.00000,  17.67578,   0.91577,   1.18862, 183.76953,   0.24067,   0.28422,   0.87671,  52.69367,  10.59224,   0.00000,  -0.01112,  12.54558,   3.03720,   0.21224
   1.00000,  24.16016,   0.59790,   1.44546, 115.33203,   0.57700,   0.87055,   0.82403, 213.56780,   2.60316,   0.00000,  -0.00215, 121.47476,   4.82044,   0.33686
   1.00000,  36.46484,   0.60815,   1.47427, 166.07422,   0.22427,   0.70779,   0.61701, 756.57087,   1.09026,   0.00000,  -0.00156, 167.94003,   4.96680,   0.34709
   1.00000,  39.58984,   0.94312,   1.30190, 117.20703,   0.32271,   0.80618,   0.67382, 772.29569,   0.60125,   0.00000,   0.00018, 246.03613,   3.96171,   0.27685
   1.00000,  47.44141,   0.96167,   1.41616, 197.71484,   0.24204,   0.83332,   0.59439,1569.31795,   0.58941,   0.00000,  -0.00099, 375.74258,   4.67830,   0.32693
   1.00000,  35.91797,   0.91479,   1.49429,  87.44141,   0.35142,   0.91311,   0.67156, 738.80459,   0.60066,   0.00000,  -0.00113, 256.16692,   5.07510,   0.35465
   1.00000,  46.89453,   0.55054,   1.10464, 180.48828,   0.55718,   0.72845,   0.77696, 690.93051,   0.55710,   0.00000,  -0.00090, 379.43329,   2.13264,   0.14903
   1.00000,  11.03516,   0.51050,   1.15249, 159.16016,   0.69800,   0.23398,   1.13473,  11.19667,  37.70063,   0.00000,  -0.02461,   7.71917,   2.65218,   0.18534
   1.00000,  40.52734,   0.72925,   1.33755,  86.38672,   0.71099,   1.21093,   0.80124, 877.57026,   0.41310,   0.00000,   0.00090, 616.46305,   4.19650,   0.29326
   1.00000,  30.33203,   0.96851,   1.11636,  82.05078,   0.41294,   0.52770,   0.82290, 201.46110,   0.93590,   0.00000,  -0.00184,  82.01279,   2.29793,   0.16058
   1.00000,  46.77734,   0.68237,   1.57192, 180.13672,   0.73286,   1.44403,   0.78096,1738.33293,   0.56020,   0.00000,   0.00143,1259.39817,   5.40601,   0.37778
   1.00000,  39.78516,   0.55884,   1.50015, 124.70703,   0.69731,   1.29391,   0.78428,1006.50283,   0.63034,   0.00000,  -0.00030, 693.20250,   5.08747,   0.35552
   1.00000,  15.64453,   0.62866,   1.58169, 199.23828,   0.70278,   0.73808,   0.94067,  65.47194,  16.56286,   0.00000,  -0.00779,  45.45165,   5.44274,   0.38035
   1.00000,  10.29297,   0.56226,   1.53579, 198.06641,   0.39995,   0.31158,   1.00766,  17.97965,  57.81477,   0.00000,  -0.02690,   7.09008,   5.24819,   0.36675
   1.00000,  16.73828,   0.67065,   1.16177, 121.07422,   0.31929,   0.28295,   0.92924,  40.71263,   8.21806,   0.00000,  -0.00853,  12.83359,   2.76342,   0.19311
   1.00000,  35.68359,   0.76929,   1.50356, 159.04297,   0.86343,   1.35583,   0.85393, 729.96373,   1.11419,   0.00000,   0.00353, 625.92229,   5.11382,   0.35736
   1.00000,  23.76953,   0.87085,   1.14370, 103.61328,   0.23999,   0.33949,   0.81702, 109.30133,   2.45586,   0.00000,  -0.00420,  25.95003,   2.59068,   0.18104
   1.00000,  34.04297,   0.95288,   1.17642,  81.81641,   0.55308,   0.79826,   0.81237, 362.29395,   0.66010,   0.00000,  -0.00203, 197.48895,   2.92300,   0.20426
   1.00000,  40.68359,   0.96167,   1.31606, 114.04297,   0.89966,   1.32170,   0.86552, 859.14771,   0.53909,   0.00000,  -0.00481, 768.85188,   4.06125,   0.28381
   1.00000,  25.99609,   0.69995,   1.10122, 114.98047,   0.25981,   0.31076,   0.82909, 116.34465,   2.08329,   0.00000,  -0.00497,  29.88614,   2.10801,   0.14731
   1.00000,  33.84766,   0.69409,   1.35171, 190.09766,   0.34253,   0.78042,   0.69710, 522.15890,   1.56042,   0.00000,  -0.00174, 176.49679,   4.28615,   0.29952
   1.00000,  42.12891,   0.92798,   1.22427, 184.23828,   0.55786,   0.99665,   0.76591, 788.36410,   0.78431,   0.00000,  -0.00022, 433.47060,   3.35611,   0.23453
   1.00000,  18.30078,   0.97925,   1.58755, 146.38672,   0.31382,   0.55687,   0.78424, 105.46057,   7.60227,   0.00000,  -0.00687,  32.67798,   5.47686,   0.38273
   1.00000,  14.47266,   0.78931,   1.41812, 139.35547,   0.50591,   0.51004,   0.93526,  44.60435,  14.63285,   0.00000,  -0.00914,  22.23668,   4.68363,   0.32730
   1.00000,  46.66016,   0.57544,   1.47671, 167.83203,   0.62075,   1.30843,   0.74232,1588.28171,   0.52588,   0.00000,  -0.00096, 972.39159,   4.97667,   0.34778
   1.00000,  20.13672,   0.56421,   1.52603, 126.93359,   0.79165,   0.93356,   0.91282, 133.52942,   4.94835,   0.00000,  -0.00508, 104.68988,   5.20548,   0.36377
   1.00000,  34.39453,   0.52417,   1.25356,  99.04297,   0.51343,   0.84513,   0.77143, 456.59713,   0.77483,   0.00000,  -0.00149, 231.01395,   3.57203,   0.24962
   1.00000,  36.15234,   0.66577,   1.43862, 123.76953,   0.59067,   1.12720,   0.76456, 710.82459,   0.83379,   0.00000,  -0.00180, 413.94337,   4.78854,   0.33463
   1.00000,  49.39453,   0.83179,   1.19106, 127.98828,   0.37466,   0.84354,   0.68715,1157.07089,   0.33805,   0.00000,  -0.00053, 427.56706,   3.05614,   0.21357
