core_r,ref_mult,fuel_frac,keff,r_mass,c_mass,p_mass,mass
  50.00000,   0.85757,   0.28214,   1.57494,3611432.11610,1497224.15384,6637625.76970,11746282.03964
  50.00000,   0.96464,   0.28214,   1.58807,4394826.66415,1497224.15384,7764219.42428,13656270.24227
  30.00000,   0.00100,   0.16071,   0.68793, 433.03005,220705.20914,264103.19534,485241.43453
  32.85714,   0.00100,   0.46429,   1.33673, 568.90997,627266.18927,346975.78441,974810.88365
  47.14286,   0.10807,   0.52500,   1.68904,201726.67565,2051958.76455,1346292.36612,3599977.80632
  41.42857,   1.39293,   0.40357,   1.63796,4823665.96164,1122132.14755,7697661.85473,13643459.96391
  12.85714,   1.28586,   0.34286,   0.67102,124224.42734,29499.49633,202146.35477,355870.27844
  47.14286,   0.32221,   0.28214,   1.45085,733884.87219,1254944.70436,2174596.47439,4163426.05094
  30.00000,   0.85757,   0.88929,   1.73637,780069.33708,836879.00239,1433727.16626,3050675.50572
  30.00000,   1.07171,   0.58571,   1.56883,1137982.21696,580135.89277,1946356.99332,3664475.10305
  21.42857,   0.00100,   0.52500,   1.04793, 157.80975,192708.30025,96247.50092,289113.61092
  35.71429,   1.17879,   0.16071,   1.19448,2273059.25487,372370.16890,3784216.14279,6429645.56656
  41.42857,   0.85757,   0.88929,   1.88826,2054325.56893,2203934.76707,3775744.33004,8034004.66604
  24.28571,   0.10807,   0.22143,   0.74426,27578.33020,144327.35129,184053.47387,355959.15537
  38.57143,   0.42929,   0.46429,   1.56762,588388.41118,1014751.78729,1474234.84829,3077375.04677
  35.71429,   1.17879,   0.58571,   1.68349,2273059.25487,978795.65790,3784216.14279,7036071.05557
  32.85714,   1.28586,   0.40357,   1.48712,2073304.82957,559800.71712,3373821.25732,6006926.80401
  12.85714,   0.00100,   0.88929,   0.93735,  34.08689,65876.72886,20789.45050,86700.26625
  44.28571,   0.21514,   0.52500,   1.67378,368415.42853,1701028.87533,1432352.80764,3501797.11150
  18.57143,   1.28586,   0.10000,   0.59987,374377.65678,40177.95725,609212.53773,1023768.15175
  35.71429,   1.50000,   0.40357,   1.55643,3558121.14927,718902.90423,5583018.17785,9860042.23135
  50.00000,   0.42929,   0.10000,   1.10569,1281672.01780,784082.62147,3211289.54415,5277044.18343
  30.00000,   0.42929,   0.28214,   1.14782,276841.15585,323400.41723,693638.54154,1293880.11461
  38.57143,   0.21514,   0.64643,   1.68962,243413.23859,1342141.72633,946360.02922,2531914.99414
  12.85714,   0.53636,   0.28214,   0.50271,29812.42444,25457.15873,66616.74802,121886.33119
  12.85714,   1.39293,   0.28214,   0.61453,144181.82400,25457.15873,230087.02003,399726.00276
  30.00000,   0.00100,   0.22143,   0.83864, 433.03005,272057.05433,264103.19534,536593.27972
  21.42857,   0.85757,   0.40357,   1.11449,284281.77152,155282.94035,522495.21848,962059.93036
  44.28571,   0.32221,   0.34286,   1.49794,608374.48605,1205514.16460,1802692.85087,3616581.50151
  27.14286,   0.53636,   0.76786,   1.58711,280498.79301,543760.11417,626782.88560,1451041.79278
  38.57143,   0.32221,   0.34286,   1.40527,401954.94666,796487.02048,1191044.86682,2389486.83396
  30.00000,   1.28586,   0.64643,   1.62315,1578111.36973,631487.73797,2568009.10783,4777608.21553
