core_r,fuel_frac,ref_mult,keff,stdv,r_mass,c_mass,p_mass,mass
  40.34483,   0.28333,   0.08481,   1.43417,   0.00073,-253705.58449,1578048.96315,1043204.49468,2367547.87334
  10.00000,   0.70000,   0.11275,   0.81186,   0.00059,-3322.87590,50132.78158,16941.77589,63751.68157
  23.79310,   0.70000,   0.11741,   1.55690,   0.00071,-43507.17786,675266.01274,230628.25489,862387.08977
  36.20690,   0.95000,   0.10344,   1.91795,   0.00069,-166414.11475,3122927.94230,787208.15555,3743721.98311
  36.20690,   0.86667,   0.02894,   1.88086,   0.00063,-230845.31579,2875148.04659,659904.33811,3304207.06892
  25.17241,   0.95000,   0.05687,   1.74313,   0.00075,-69811.02054,1049451.38800,237230.40263,1216870.77009
  15.51724,   0.61667,   0.15000,   1.13292,   0.00066,-9560.73010,167807.31243,68817.88832,227064.47065
  32.06897,   0.70000,   0.07550,   1.73837,   0.00058,-133155.08208,1653395.82216,512627.79864,2032868.53873
  47.24138,   0.61667,   0.04756,   1.86748,   0.00066,-478854.23927,4735165.65378,1533483.04306,5789794.45756
  27.93103,   0.70000,   0.15000,   1.67071,   0.00073,-55758.16596,1092402.42526,401345.83846,1437990.09777
  23.79310,   0.86667,   0.02894,   1.65760,   0.00071,-65508.87308,815904.39833,187266.47923,937662.00448
  15.51724,   0.70000,   0.03825,   1.18289,   0.00071,-17576.07606,187311.84155,53136.39953,222872.16502
  16.89655,   0.36667,   0.06153,   0.86526,   0.00061,-20708.62665,141102.80539,72545.21791,192939.39666
  44.48276,   0.20000,   0.10809,   1.33482,   0.00072,-300578.56643,1655624.60721,1475421.85436,2830467.89513
  34.82759,   0.61667,   0.00100,   1.71089,   0.00074,-224938.04420,1897307.48310,548090.56366,2220460.00257
  37.58621,   0.45000,   0.12206,   1.63168,   0.00064,-166551.48139,1830389.20045,918794.59945,2582632.31851
  37.58621,   0.61667,   0.10344,   1.77160,   0.00073,-186166.58798,2384806.01141,880645.59053,3079285.01395
  19.65517,   0.86667,   0.13603,   1.54396,   0.00073,-21650.76178,459956.32773,135581.68142,573887.24737
  29.31034,   0.86667,   0.04756,   1.78277,   0.00078,-114366.32835,1525277.11233,366246.78418,1777157.56816
  29.31034,   0.78333,   0.03825,   1.73417,   0.00068,-118451.63520,1393813.10203,358105.72225,1633467.18908
  36.20690,   0.70000,   0.09412,   1.80447,   0.00066,-174971.36207,2379555.44968,770487.46355,2975071.55117
  10.00000,   0.78333,   0.01962,   0.86032,   0.00056,-5020.14550,55353.10326,13588.57715,63921.53491
  27.93103,   0.45000,   0.06619,   1.41234,   0.00072,-91703.10223,751136.19677,331341.03663,990774.13116
  50.00000,   0.70000,   0.14534,   1.93686,   0.00065,-332151.10563,6266597.69797,2278691.05011,8213137.64245
  12.75862,   0.61667,   0.03825,   0.92419,   0.00058,-9769.88833,93277.85662,29536.55228,113044.52058
  15.51724,   0.20000,   0.06619,   0.52195,   0.00044,-15724.12927,70279.73687,56814.31890,111369.92649
  44.48276,   0.28333,   0.02428,   1.47795,   0.00075,-435003.48302,2115105.24562,1209834.10371,2889935.86631
  19.65517,   0.78333,   0.06619,   1.46787,   0.00075,-31956.08644,420312.57846,115463.51812,503820.01015
  37.58621,   0.61667,   0.14534,   1.77708,   0.00068,-141094.89384,2384806.01141,967968.09149,3211679.20906
  38.96552,   0.95000,   0.08481,   1.94164,   0.00066,-228563.97819,3892506.66559,939825.46675,4603768.15415
  19.65517,   0.20000,   0.01962,   0.66343,   0.00050,-38119.45811,142829.23442,103182.10838,207891.88469
  21.03448,   0.28333,   0.02894,   0.89241,   0.00056,-45262.90037,223641.37060,129390.47173,307768.94197
  44.48276,   0.78333,   0.05222,   1.92442,   0.00067,-392526.69042,4872110.74448,1294623.93736,5774207.99142
  23.79310,   0.70000,   0.11275,   1.55620,   0.00076,-44757.64344,675266.01274,228198.09896,858706.46827
  36.20690,   0.28333,   0.01962,   1.32978,   0.00065,-238281.50395,1140593.34248,644982.62004,1547294.45856
  38.96552,   0.86667,   0.03359,   1.90938,   0.00071,-283044.54512,3583666.72004,831905.40954,4132527.58447
  14.13793,   0.78333,   0.01031,   1.16759,   0.00065,-14620.69434,156422.58365,37525.55987,179327.44918
  34.82759,   0.86667,   0.00100,   1.86002,   0.00070,-224938.04420,2558918.50043,548090.56366,2882071.01990
  29.31034,   0.28333,   0.11275,   1.20640,   0.00067,-83671.33365,605089.16117,426600.63867,948018.46619
  34.82759,   0.78333,   0.03359,   1.82294,   0.00076,-202108.05846,2338364.68408,594022.35458,2730278.98021
  12.75862,   0.86667,   0.07084,   1.16027,   0.00071,-8563.79667,125804.82348,31929.79064,149170.81745
  16.89655,   0.20000,   0.00100,   0.55166,   0.00043,-25685.42515,90736.24622,62585.85201,127636.67309
  37.58621,   0.61667,   0.11741,   1.77269,   0.00071,-171511.57348,2384806.01141,909169.86182,3122464.29975
  50.00000,   0.20000,   0.01962,   1.37241,   0.00066,-627518.18805,2351238.62778,1698572.14401,3422292.58374
  30.68966,   0.78333,   0.11275,   1.77207,   0.00073,-96048.44843,1599993.45074,489705.70513,1993650.70745
  29.31034,   0.36667,   0.04291,   1.32369,   0.00063,-116415.90505,736553.17148,362165.93379,982303.20022
  26.55172,   0.45000,   0.03825,   1.36157,   0.00070,-88055.49654,645261.59273,266211.41306,823417.50925
  10.00000,   0.86667,   0.03825,   0.93112,   0.00054,-4704.12108,60573.99043,14221.60761,70091.47696
  14.13793,   0.45000,   0.13603,   0.85460,   0.00063,-8057.49880,97412.64106,50457.77355,139812.91581
  33.44828,   0.86667,   0.02894,   1.84463,   0.00068,-181998.75166,2266770.51487,520269.45118,2605041.21439
  22.41379,   0.95000,   0.02428,   1.66647,   0.00074,-55649.78010,740856.04999,154773.47758,839979.74747
  37.58621,   0.45000,   0.03359,   1.61037,   0.00067,-254038.16569,1830389.20045,746651.81829,2323002.85305
  34.82759,   0.28333,   0.15000,   1.35346,   0.00062,-108098.05900,1015142.64943,778087.03679,1685131.62722
  15.51724,   0.53333,   0.06619,   1.01626,   0.00059,-15724.12927,148300.43571,56814.31890,189390.62533
  25.17241,   0.45000,   0.08481,   1.33640,   0.00075,-61622.70351,549834.80472,253384.57331,741596.67452
  43.10345,   0.70000,   0.12206,   1.88344,   0.00067,-251188.05875,4014744.38397,1385699.06378,5149255.38900
  34.82759,   0.86667,   0.01962,   1.86351,   0.00080,-212073.58331,2558918.50043,574042.77349,2920887.69061
  10.00000,   0.78333,   0.01031,   0.85852,   0.00061,-5173.81049,55353.10326,13279.13235,63458.42513
  18.27586,   0.45000,   0.00100,   1.03080,   0.00062,-32503.19944,210422.07777,79198.23864,257117.11697
  44.48276,   0.20000,   0.00100,   1.27795,   0.00067,-468670.72079,1655624.60721,1141976.67385,2328930.56027
  21.03448,   0.70000,   0.15000,   1.47271,   0.00073,-23814.58221,466570.35629,171416.74764,614172.52172
  22.41379,   0.78333,   0.14534,   1.58348,   0.00078,-29920.68867,623286.71407,205268.03713,798634.06254
  21.03448,   0.53333,   0.08947,   1.29087,   0.00070,-35133.95374,369397.82640,149454.18609,483718.05875
  12.75862,   0.45000,   0.05222,   0.74498,   0.00047,-9262.00739,71592.73358,30547.77360,92878.49979
  30.68966,   0.53333,   0.07550,   1.57682,   0.00065,-116702.17328,1147295.33147,449286.48047,1479879.63867
  36.20690,   0.53333,   0.06619,   1.67861,   0.00071,-199754.78965,1883965.83509,721752.67207,2405963.71752
  47.24138,   0.45000,   0.12206,   1.75520,   0.00075,-330697.27704,3634340.08198,1824318.04070,5127960.84563
  33.44828,   0.53333,   0.15000,   1.64776,   0.00068,-95756.66158,1485321.15105,689253.97690,2078818.46637
  34.82759,   0.53333,   0.10809,   1.66546,   0.00067,-144262.38265,1676753.66676,708127.24490,2240618.52901
  18.27586,   0.86667,   0.05687,   1.46897,   0.00066,-26716.71540,369759.76509,90788.20366,433831.25335
  36.20690,   0.61667,   0.01031,   1.73659,   0.00072,-245575.22140,2131775.55398,630294.80399,2516495.13657
  37.58621,   0.20000,   0.09878,   1.20878,   0.00065,-190973.36123,998785.66998,871260.59861,1679072.90736
  11.37931,   0.36667,   0.07550,   0.56465,   0.00039,-5949.08945,43101.19600,22903.13356,60055.24011
  10.00000,   0.95000,   0.00566,   0.98614,   0.00058,-5249.50805,65794.24928,13126.28428,73671.02551
  34.82759,   0.61667,   0.06619,   1.72363,   0.00072,-177784.31527,1897307.48310,642369.10078,2361892.26861
  19.65517,   0.70000,   0.06153,   1.39565,   0.00068,-32597.74801,380673.12310,114194.47427,462269.84936
  29.31034,   0.61667,   0.13603,   1.63430,   0.00067,-71796.84117,1130915.14190,449607.11060,1508725.41134
  21.03448,   0.53333,   0.15000,   1.30909,   0.00057,-23814.58221,369397.82640,171416.74764,516999.99184
  12.75862,   0.20000,   0.04291,   0.39995,   0.00035,-9601.98135,39065.89722,29871.43844,59335.35431
  19.65517,   0.36667,   0.14069,   1.02641,   0.00057,-20916.08513,222111.96195,136998.73468,338194.61151
  40.34483,   0.53333,   0.11275,   1.74700,   0.00077,-218211.57901,2606529.62100,1112557.84887,3500875.89086
  50.00000,   0.20000,   0.13603,   1.42195,   0.00068,-356412.38031,2351238.62778,2231930.23381,4226756.48127
  21.03448,   0.53333,   0.09412,   1.29283,   0.00072,-34307.43787,369397.82640,151073.01258,486163.40112
  23.79310,   0.53333,   0.04756,   1.37958,   0.00067,-61177.07371,534628.47347,195913.48986,669364.88963
  44.48276,   0.70000,   0.06619,   1.88999,   0.00075,-370423.34694,4412624.57568,1338411.16364,5380612.39238
  29.31034,   0.45000,   0.01031,   1.42843,   0.00064,-130278.60078,868001.36047,334373.82110,1072096.58078
  19.65517,   0.20000,   0.08947,   0.69625,   0.00048,-28665.67007,142829.23442,121939.14811,236102.71245
  41.72414,   0.86667,   0.03359,   1.93054,   0.00070,-347516.59022,4399956.33387,1021397.28993,5073837.03357
  40.34483,   0.95000,   0.01031,   1.94683,   0.00069,-339761.51629,4320675.05378,872033.90103,4852947.43852
  25.17241,   0.36667,   0.09412,   1.21898,   0.00066,-58798.64735,466569.04891,258920.20341,666690.60497
  47.24138,   0.70000,   0.05687,   1.90936,   0.00060,-461442.21487,5285542.00539,1568063.63209,6392163.42260
  18.27586,   0.86667,   0.01497,   1.46027,   0.00080,-31114.95798,369759.76509,82001.35181,420646.15892
  11.37931,   0.95000,   0.07084,   1.11925,   0.00056,-6075.79379,96947.30089,22653.36640,113524.87350
  34.82759,   0.70000,   0.10344,   1.78573,   0.00068,-148110.68858,2117834.75644,700625.31748,2670349.38534
  16.89655,   0.78333,   0.08016,   1.34500,   0.00067,-19057.45890,267015.26313,75802.72676,323760.53099
  50.00000,   0.61667,   0.03825,   1.88683,   0.00062,-588015.13502,5614065.34187,1777700.95167,6803751.15853
  50.00000,   0.95000,   0.11741,   2.01265,   0.00070,-403754.92841,8224281.16005,2140274.29766,9960800.52930
  36.20690,   0.95000,   0.03825,   1.91373,   0.00073,-223281.38592,3122927.94230,675029.44841,3574676.00478
  34.82759,   0.20000,   0.07084,   1.13618,   0.00071,-174190.91826,794615.37609,649464.22346,1269888.68130
  43.10345,   0.78333,   0.14069,   1.92168,   0.00073,-220590.13415,4432799.32702,1444848.26299,5657057.45586
  38.96552,   0.20000,   0.06619,   1.21939,   0.00074,-248980.08041,1112828.20382,899613.16394,1763461.28735
  11.37931,   0.45000,   0.01031,   0.64368,   0.00045,-7623.56843,50793.20573,19566.69547,62736.33276
  48.62069,   0.61667,   0.10344,   1.88387,   0.00066,-402976.28143,5162152.18223,1906245.84773,6665421.74853
  48.62069,   0.95000,   0.02894,   2.00209,   0.00075,-558998.17803,7562254.50762,1597976.20941,8601232.53899
  22.41379,   0.36667,   0.02428,   1.09120,   0.00063,-55649.78010,329372.57178,154773.47758,428496.26926
  29.31034,   0.53333,   0.13603,   1.56136,   0.00077,-71796.84117,999451.13160,449607.11060,1377261.40103
  22.41379,   0.20000,   0.11741,   0.81050,   0.00062,-36370.87249,211803.23586,192799.24059,368231.60396
  23.79310,   0.28333,   0.12206,   1.03983,   0.00060,-42248.95601,323675.54983,233069.75293,514496.34676
  30.68966,   0.61667,   0.00566,   1.63556,   0.00067,-151738.16834,1298206.20696,379418.09301,1525886.13164
  48.62069,   0.70000,   0.13138,   1.92569,   0.00071,-338728.58838,5762157.90373,2031006.98736,7454436.30271
  36.20690,   0.53333,   0.14069,   1.69302,   0.00070,-130744.67654,1883965.83509,856367.48678,2609588.64533
  43.10345,   0.61667,   0.13603,   1.83890,   0.00068,-228338.35379,3596694.47264,1429903.40268,4798259.52153
  10.00000,   0.86667,   0.11741,   0.94874,   0.00060,-3230.03943,60573.99043,17122.19438,74466.14539
  12.75862,   0.86667,   0.08481,   1.16293,   0.00064,-8023.75142,125804.82348,32992.62632,150773.69838
  48.62069,   0.45000,   0.03359,   1.75293,   0.00070,-549891.12956,3962061.29984,1616202.86712,5028373.03740
  21.03448,   0.70000,   0.11275,   1.46298,   0.00070,-30924.98253,466570.35629,157671.88978,593317.26355
  32.06897,   0.86667,   0.13603,   1.83813,   0.00069,-94036.79141,1997750.36508,588878.41566,2492591.98932
  21.03448,   0.45000,   0.07550,   1.17966,   0.00071,-37574.91900,320813.90049,144658.00110,427896.98259
  12.75862,   0.53333,   0.06153,   0.84336,   0.00052,-8915.96373,82434.70788,31233.86898,104752.61313
  21.03448,   0.45000,   0.06619,   1.17845,   0.00070,-39166.83824,320813.90049,141517.35838,423164.42063
  43.10345,   0.70000,   0.05222,   1.87602,   0.00074,-357133.10726,4014744.38397,1177889.50606,4835500.78276
  41.72414,   0.28333,   0.05687,   1.44849,   0.00066,-317915.55552,1745496.51714,1080334.23171,2507915.19334
  44.48276,   0.70000,   0.03825,   1.88809,   0.00074,-414050.83918,4412624.57568,1251768.07027,5250341.80678
  48.62069,   0.28333,   0.03825,   1.54093,   0.00072,-540681.91721,2761977.63921,1634602.07322,3855897.79522
  29.31034,   0.45000,   0.02428,   1.43350,   0.00064,-124445.76609,868001.36047,346109.25602,1089664.85041
  29.31034,   0.28333,   0.10344,   1.20243,   0.00076,-88283.32882,605089.16117,417616.95845,934422.79081
  27.93103,   0.70000,   0.01497,   1.64285,   0.00075,-111069.95732,1092402.42526,292717.30506,1274049.77300
  22.41379,   0.36667,   0.14534,   1.14106,   0.00068,-29920.68867,329372.57178,205268.03713,504719.92024
  23.79310,   0.95000,   0.08481,   1.71481,   0.00068,-52037.86224,886218.93638,213972.94779,1048154.02193
  44.48276,   0.86667,   0.05687,   1.95533,   0.00070,-385234.14543,5331646.68670,1309094.90685,6255507.44812
  14.13793,   0.20000,   0.05687,   0.46066,   0.00040,-12368.21647,53155.00657,42029.42386,82816.21396
  50.00000,   0.86667,   0.04291,   1.98729,   0.00065,-577909.40589,7571748.80396,1797856.56904,8791695.96711
  30.68966,   0.70000,   0.14534,   1.72647,   0.00070,-76807.19777,1449098.92077,526928.47070,1899220.19370
  34.82759,   0.36667,   0.03825,   1.45253,   0.00066,-198723.28659,1235696.46578,600784.83469,1637758.01388
  32.06897,   0.20000,   0.09878,   1.08753,   0.00061,-118615.71153,620357.05999,541149.79789,1042891.14635
  27.93103,   0.53333,   0.10344,   1.51753,   0.00065,-76397.11971,864887.95529,361390.23297,1149881.06854
  44.48276,   0.20000,   0.07084,   1.31900,   0.00070,-362936.30767,1655624.60721,1353194.23990,2645882.53944
  48.62069,   0.20000,   0.06153,   1.37518,   0.00072,-493424.30540,2161971.91771,1728534.41063,3397082.02294
  11.37931,   0.28333,   0.06619,   0.45872,   0.00039,-6201.13178,35408.26046,22405.88792,51613.01660
  50.00000,   0.53333,   0.01031,   1.82990,   0.00065,-646726.31071,4961454.44596,1659891.54330,5974619.67855
  50.00000,   0.95000,   0.08016,   2.01124,   0.00072,-493833.89080,8224281.16005,1964267.93776,9694715.20702
  44.48276,   0.28333,   0.03359,   1.48104,   0.00064,-421103.19654,2115105.24562,1237678.07302,2931680.12210
  25.17241,   0.53333,   0.15000,   1.45399,   0.00071,-40815.20825,633101.56274,293786.81478,886073.16928
  15.51724,   0.20000,   0.13603,   0.54620,   0.00046,-10653.35012,70279.73687,66713.54736,126339.93412
  32.06897,   0.70000,   0.12206,   1.74724,   0.00073,-103447.00614,1653395.82216,570673.70266,2120622.51869
  48.62069,   0.86667,   0.02894,   1.97813,   0.00060,-558998.17803,6962248.78612,1597976.20941,8001226.81749
  36.20690,   0.95000,   0.01962,   1.91053,   0.00074,-238281.50395,3122927.94230,644982.62004,3529629.05838
  25.17241,   0.95000,   0.14069,   1.75483,   0.00077,-43936.39072,1049451.38800,287779.95018,1293294.94746
  41.72414,   0.61667,   0.06619,   1.81654,   0.00068,-305692.90266,3262343.08603,1104527.55458,4061177.73795
  48.62069,   0.53333,   0.14069,   1.83546,   0.00068,-316601.77172,4562074.24310,2073717.03950,6319189.51088
  19.65517,   0.78333,   0.06153,   1.46556,   0.00070,-32597.74801,420312.57846,114194.47427,501909.30472
  36.20690,   0.95000,   0.14069,   1.91933,   0.00070,-130744.67654,3122927.94230,856367.48678,3848550.75254
  11.37931,   0.95000,   0.10809,   1.12747,   0.00063,-5031.88396,96947.30089,24699.53749,116614.95441
  33.44828,   0.36667,   0.00566,   1.40791,   0.00059,-196444.54629,1094618.80614,491205.44919,1389379.70904
  50.00000,   0.95000,   0.04756,   2.00872,   0.00060,-567734.94004,8224281.16005,1818114.64136,9474660.86138
  33.44828,   0.53333,   0.09878,   1.63778,   0.00069,-134588.68645,1485321.15105,614021.86550,1964754.33011
  15.51724,   0.20000,   0.00566,   0.50003,   0.00045,-19613.81334,70279.73687,49043.92702,99709.85055
  10.00000,   0.53333,   0.07550,   0.65152,   0.00043,-4037.40868,39691.63557,15543.43922,51197.66610
  41.72414,   0.78333,   0.01962,   1.89865,   0.00072,-364651.90508,4020723.01282,987043.21248,4643114.32023
  15.51724,   0.20000,   0.07550,   0.52561,   0.00040,-15085.02882,70279.73687,58075.17819,113269.88624
  43.10345,   0.28333,   0.03359,   1.45950,   0.00072,-383132.90977,1924389.16131,1126078.37073,2667334.62227
  16.89655,   0.20000,   0.01031,   0.55575,   0.00044,-24957.70403,90736.24622,64056.58958,129835.13177
  44.48276,   0.86667,   0.03825,   1.95501,   0.00067,-414050.83918,5331646.68670,1251768.07027,6169363.91779
  34.82759,   0.28333,   0.08947,   1.33149,   0.00068,-159478.43100,1015142.64943,678395.58498,1534059.80341
  37.58621,   0.95000,   0.01031,   1.92265,   0.00067,-274723.69835,3493602.93400,705107.45595,3923986.69160
  19.65517,   0.78333,   0.07550,   1.46846,   0.00070,-30657.24509,420312.57846,118025.95754,507681.29091
  12.75862,   0.70000,   0.13138,   1.03185,   0.00059,-6120.67905,104119.70043,36699.41758,134698.43897
  22.41379,   0.61667,   0.14069,   1.44564,   0.00070,-31016.72098,505723.74565,203157.11580,677864.14047
  41.72414,   0.36667,   0.06619,   1.58389,   0.00072,-305692.90266,2124729.83818,1104527.55458,2923564.49011
  18.27586,   0.78333,   0.08481,   1.41257,   0.00065,-23583.04203,337890.07979,96970.41353,411277.45129
  25.17241,   0.20000,   0.07084,   0.88037,   0.00053,-65770.27070,300027.51528,245221.95655,479479.20113
  16.89655,   0.70000,   0.10809,   1.27837,   0.00071,-16473.16106,241833.19591,80860.26269,306220.29754
  16.89655,   0.36667,   0.07084,   0.86967,   0.00054,-19890.66726,141102.80539,74161.59750,195373.73563
  18.27586,   0.61667,   0.15000,   1.27658,   0.00069,-15620.00232,274157.99649,112432.37324,370970.36742
  40.34483,   0.53333,   0.01031,   1.72690,   0.00060,-339761.51629,2606529.62100,872033.90103,3138802.00574
