T3_new,T4_new,p3_new,p4_new,m_dot_new,cyc_efficiency_new,q_reactor_new,UA_new,A_panel_new,mass_total_estimated,mass_total_thermal
902.8382352431,1100,17906.4,17422.9272,0.5301108348,0.3014503412,132691.83854719,3373.2563135586,140,1139.5919662044,1013.7341968178
910.9115223646,1100,17906.4,17422.9272,0.501630955,0.33196105,120496.064207998,3773.2563135586,140,1128.8555018201,1014.5653840018
916.2949972344,1100,17906.4,17422.9272,0.4716587324,0.3632526059,110116.209348219,4173.2563135586,140,1120.4978919538,1016.0530320919
915.7082879635,1100,17906.4,17422.9272,0.4345735404,0.3930139881,101777.547890958,4573.2563135586,140,1114.8142454448,1018.2785783574
715.8468345234,1100,17906.4,17422.9272,1.6876004413,0.0492938681,811459.955832512,353.9059482214,150,2047.9087100623,1278.2416295105
740.9216074187,1100,17906.4,17422.9272,0.9832519325,0.0903491273,442727.021378306,753.9059482214,150,1570.1085659273,1150.1834524619
786.0283355303,1100,17906.4,17422.9272,0.8016543494,0.1263075253,316687.385851091,1153.9059482215,150,1410.2366433866,1109.8597067755
822.3226691257,1100,17906.4,17422.9272,0.7013823178,0.1627805178,245729.652039242,1553.9059482215,150,1322.5220120931,1089.4482509905
849.6281451108,1100,17906.4,17422.9272,0.6357445773,0.1987536953,201254.1197932,1953.9059482215,150,1269.4990648508,1078.6101987806
870.1249030743,1100,17906.4,17422.9272,0.5877795133,0.2337710981,171107.550603915,2353.9059482215,150,1235.2470592128,1072.9521141732
885.6624496202,1100,17906.4,17422.9272,0.5495139415,0.2678557048,149334.135060972,2753.9059482215,150,1211.9638848516,1070.3209523409
897.4546273485,1100,17906.4,17422.9272,0.5161890607,0.3014764402,132680.351316932,3153.9059482215,150,1195.3874281469,1069.5405543601
905.9658757272,1100,17906.4,17422.9272,0.4831862772,0.3359760622,119056.101000967,3553.9059482215,150,1182.779660233,1069.8553427474
907.9932672651,1100,17906.4,17422.9272,0.4377783949,0.3746819751,106757.203875497,3953.9059482215,150,1171.9081049986,1070.6492507026
903.2825908196,1100,17906.4,17422.9272,0.4126236905,0.3881444734,103054.410778012,4353.9059482215,150,1172.2974460409,1074.5506787342
